ID,A,B,C,D,E,F,G,H,I,J,W,X,Y,Z
1,5.345443630538301,6.949166512319881,9.569351062761282,4.5933015723368085,0.2347253244933023,7.713573981814749,0.8524861279267426,7.577737707215157,3.0205621954365256,8.405583702010855,9.108795489119736,-22.994806605277077,2.562714684917965,-1.0754884483123055
2,7.575658276606552,6.293655940845842,5.558231152151577,4.353909488560861,7.239512133549802,5.101616601559577,8.3101148253925,9.019400233306666,9.905072087632728,7.456391918225879,16.747070122640036,-18.30004662830132,4.165000096980858,-22.935145272470486
3,0.632723305839954,5.467428653930172,7.53371427601365,9.278694639408245,9.671059514245748,3.850128248078253,6.665918925989715,5.405278475996732,5.420821545667986,9.91383537614591,14.280644271758277,-15.944798090447973,7.1027789932398875,-17.331580266265302
4,1.5281508465234162,0.08271748078281349,0.04125662737651359,4.013918604116286,8.435488184433913,7.836126049510149,3.234188158357678,1.7060818102833308,4.326841025755577,7.914388396941651,10.379253720632095,-22.307573484905557,-2.9609748025581815,-36.869213406232284
5,9.914112321457756,9.38697644411219,7.9900923919067255,8.800038218574475,3.59039544065019,3.8216843467926953,3.619348027287722,2.972531833898391,4.4196158791383695,0.7360897763373209,11.035231820338513,-0.5910295898614057,1.4357951067736334,-4.199190496739337
6,5.7375590353918415,8.444763613789004,5.076068558818089,3.849063715614128,6.481604777300401,7.733850875524193,7.9943878642157316,6.255001679394599,8.928614957244543,3.4333071908016333,11.409001187847636,-18.940963499113877,3.1552834431013386,-17.79502057988002
7,1.0652507599809247,7.179845684605462,6.426639379434146,7.495971665330501,3.1888598926152767,6.791243174948632,6.173941760618852,0.6919198384472292,2.8972555671538314,0.17525306365338,0.568005775967556,-19.42319575845154,7.9043621358459815,-23.290120918997303
8,0.04032122611934974,0.20251536166920991,2.7700147460575697,7.118319430792069,8.145865838711465,4.736285828287793,4.150957931877675,2.2999935657417083,4.201652460737414,4.243943209385081,9.759367008557257,-12.086433809078862,-3.0444788240951817,-31.27601468581764
9,3.4563123436340257,6.145546235974475,8.074577849690238,0.7874104828960315,9.10565940616457,2.194977979638415,6.41426382230343,8.872192830420527,2.400551640711186,7.881271151321397,11.242771258898465,-19.280249719269694,4.1379064636722545,-8.701736599870829
10,6.429809739808529,1.1424255149545126,7.460691137149039,0.41462844703100354,5.850161003522278,8.98806165093866,4.816551757191264,3.3122703123489794,3.0235398761399668,8.237284767293259,8.218580800598057,-20.722638936149007,-3.0946685699639715,-18.909733475546318
